iter	Logloss
0	0.6921987793
1	0.6915824626
2	0.6907795385
3	0.6896890128
4	0.6888371961
5	0.6880248042
6	0.6872957379
7	0.6862433511
8	0.6854461723
9	0.6848580398
10	0.6840801907
11	0.6832488331
12	0.6824883945
13	0.6817338781
14	0.6805730439
15	0.679663178
16	0.6791692927
17	0.6784238689
18	0.6777459391
19	0.6768873484
20	0.6764202185
21	0.6758313134
22	0.675096781
23	0.6743824346
24	0.6734701819
25	0.6727916115
26	0.6719887255
27	0.6710954216
28	0.6704393736
29	0.6697687146
30	0.6690616742
31	0.6684957592
32	0.6678999832
33	0.6671483045
34	0.666680467
35	0.6657380528
36	0.665602638
37	0.6649549717
38	0.6641461578
39	0.6635340007
40	0.6630226225
41	0.6628936128
42	0.6621476568
43	0.661591825
44	0.6610223061
45	0.6603060997
46	0.6594640918
47	0.659102958
48	0.6583582984
49	0.6577875275
50	0.6572429883
51	0.6564698234
52	0.6560650392
53	0.6551401048
54	0.6547403003
55	0.6541913083
56	0.6539446504
57	0.653327525
58	0.6528094141
59	0.6524573303
60	0.6521048895
61	0.6517136288
62	0.6511395408
63	0.6506429476
64	0.6499754274
65	0.6491864532
66	0.648459016
67	0.6478349511
68	0.6472043003
69	0.6466128219
70	0.6461954866
71	0.6455411005
72	0.6450355478
73	0.6444550523
74	0.6436129048
75	0.6430308507
76	0.6424738518
77	0.6419047434
78	0.6413048208
79	0.6405297616
80	0.6400399194
81	0.6395233908
82	0.6391235666
83	0.63851397
84	0.638164515
85	0.6377781081
86	0.6372303677
87	0.6367844446
88	0.6361378972
89	0.6354956787
90	0.6351365008
91	0.6345290571
92	0.6341542911
93	0.6336921295
94	0.6331825542
95	0.6328664077
96	0.6324224397
97	0.6320514771
98	0.6317100698
99	0.6315121114
100	0.6310081402
101	0.6304270892
102	0.6298125968
103	0.6294181289
104	0.629173534
105	0.6287324619
106	0.6282618917
107	0.6277833107
108	0.6271701553
109	0.6266530025
110	0.6259447373
111	0.6258638965
112	0.6255418363
113	0.6251141891
114	0.6246918615
115	0.6243745627
116	0.6240978639
117	0.623603266
118	0.6230488289
119	0.6226322488
120	0.6222648816
121	0.6216611627
122	0.621046282
123	0.6204094933
124	0.6199772125
125	0.6191073615
126	0.6187696206
127	0.6184702495
128	0.6180284472
129	0.6176081529
130	0.6171926725
131	0.6166503155
132	0.6162024684
133	0.6159395997
134	0.6156282582
135	0.6151494873
136	0.6150918903
137	0.6148043999
138	0.6142889093
139	0.6137102086
140	0.6134075714
141	0.6131053216
142	0.6126506076
143	0.6123515379
144	0.6119294833
145	0.6116512238
146	0.6111231354
147	0.6109657179
148	0.6104508286
149	0.6101153258
150	0.6097122362
151	0.609269824
152	0.6087861675
153	0.6083933833
154	0.6081068364
155	0.6077631045
156	0.6074834988
157	0.6072020458
158	0.6067257885
159	0.6062093226
160	0.6059180208
161	0.6054736382
162	0.6051101936
163	0.6046996124
164	0.6044111823
165	0.6039667007
166	0.6037807036
167	0.6036744491
168	0.6030306657
169	0.6027600174
170	0.6022942807
171	0.6018504185
172	0.601465371
173	0.6010595955
174	0.6007376603
175	0.6003925341
176	0.5999280937
177	0.5996515443
178	0.5989719472
179	0.5983741448
180	0.5980893726
181	0.5979994958
182	0.5975425203
183	0.5973212768
184	0.5969938372
185	0.5966735319
186	0.5964470356
187	0.5961134167
188	0.5958207305
189	0.5955075682
190	0.5950973494
191	0.5948365085
192	0.5945508996
193	0.594008125
194	0.5937868467
195	0.5933111809
196	0.5928846793
197	0.5925316158
198	0.5920204104
199	0.5916230076
