iter	Passed	Remaining
0	46	9278
1	47	4659
2	47	3117
3	47	2345
4	48	1883
5	48	1574
6	49	1353
7	49	1187
8	49	1058
9	50	954
10	50	870
11	51	799
12	51	739
13	51	688
14	52	644
15	52	605
16	53	570
17	53	539
18	53	512
19	54	487
20	54	465
21	54	444
22	55	426
23	55	409
24	56	393
25	56	378
26	56	364
27	57	352
28	57	340
29	58	329
30	58	318
31	58	309
32	59	300
33	59	291
34	60	283
35	60	275
36	60	267
37	61	260
38	61	254
39	61	247
40	62	242
41	62	236
42	63	230
43	63	225
44	63	220
45	64	215
46	64	210
47	65	206
48	65	201
49	65	197
50	66	193
51	66	189
52	67	185
53	67	182
54	67	178
55	68	175
56	68	171
57	68	168
58	69	165
59	69	162
60	70	159
61	70	156
62	70	154
63	71	151
64	71	148
65	72	146
66	72	143
67	72	141
68	73	139
69	73	136
70	73	134
71	74	132
72	74	130
73	75	127
74	75	125
75	75	123
76	76	121
77	76	119
78	77	118
79	77	116
80	77	114
81	78	112
82	78	110
83	79	109
84	79	107
85	79	105
86	80	104
87	80	102
88	80	100
89	81	99
90	81	97
91	82	96
92	82	94
93	82	93
94	83	92
95	83	90
96	84	89
97	84	87
98	84	86
99	85	85
100	85	84
101	86	82
102	86	81
103	86	80
104	87	78
105	87	77
106	88	76
107	88	75
108	88	74
109	89	73
110	89	71
111	89	70
112	90	69
113	90	68
114	91	67
115	91	66
116	91	65
117	92	64
118	92	63
119	93	62
120	93	61
121	93	60
122	94	59
123	94	58
124	95	57
125	95	56
126	95	55
127	96	54
128	96	53
129	97	52
130	97	51
131	97	50
132	98	49
133	98	48
134	99	47
135	99	46
136	99	45
137	100	44
138	100	44
139	100	43
140	101	42
141	101	41
142	102	40
143	102	39
144	102	39
145	103	38
146	103	37
147	104	36
148	104	35
149	104	34
150	105	34
151	105	33
152	105	32
153	106	31
154	106	30
155	107	30
156	107	29
157	107	28
158	108	27
159	108	27
160	109	26
161	109	25
162	109	24
163	110	24
164	110	23
165	111	22
166	111	22
167	111	21
168	112	20
169	112	19
170	112	19
171	113	18
172	113	17
173	114	17
174	114	16
175	114	15
176	115	14
177	115	14
178	116	13
179	116	12
180	116	12
181	117	11
182	117	10
183	118	10
184	118	9
185	118	8
186	119	8
187	119	7
188	119	6
189	120	6
190	120	5
191	121	5
192	121	4
193	121	3
194	122	3
195	122	2
196	123	1
197	123	1
198	123	0
199	124	0
